run_id,variant,case_set,instance_id,solved,steps_used,tree_nodes,effective_steps,steps_allowed,fraction_steps_used,total_tokens,cost_bpt,cost_usd,duration_s,stopped_reason
A_strict_c1_9b_mcts,A_strict,c1,owner_sort_001,1,3,4,4,18,0.1667,11838,106542.0,0.00121035,74.11,auto_finalized
A_strict_c1_9b_mcts,A_strict,c1,priority_snapshot_001,0,10,12,12,18,0.5556,32015,175734.0,0.0019867,112.59,reviewer_rejected
A_strict_c1_9b_mcts,A_strict,c1,renewal_preview_001,1,25,28,28,18,1.3889,107229,394092.0,0.004458,241.98,auto_finalized
A_strict_c1_9b_mcts,A_strict,c1,risk_score_001,1,3,4,4,18,0.1667,9610,86490.0,0.00097715,59.82,auto_finalized
A_strict_c1_9b_mcts,A_strict,c1,shipment_preview_001,0,33,39,39,18,1.8333,167804,848520.0,0.00951655,280.57,reviewer_rejected
A_strict_c1_9b_mcts,A_strict,c1,simple_mean_bug_001,1,3,4,4,18,0.1667,9698,87282.0,0.0009862500000000001,61.8,auto_finalized
A_strict_c1_9b_mcts,A_strict,c1,status_slug_001,1,3,4,4,18,0.1667,9013,81117.0,0.0009222499999999999,65.86,auto_finalized
A_strict_c1_9b_mcts,A_strict,c1,team_digest_001,0,31,37,37,18,1.7222,275417,1337508.0,0.01517725,664.58,reviewer_rejected
A_strict_c1_9b_mcts,A_strict,c1,workspace_digest_001,1,6,7,7,18,0.3333,23890,215010.0,0.0024293,91.23,auto_finalized
A_strict_c2_9b_mcts,A_strict,c2,assignee_board_001,0,36,38,38,18,2.0000,190132,628875.0,0.00704865,378.15,reviewer_rejected
A_strict_c2_9b_mcts,A_strict,c2,campaign_header_001,0,36,38,38,18,2.0000,199133,560394.0,0.00629635,405.05,reviewer_rejected
A_strict_c2_9b_mcts,A_strict,c2,comment_highlight_001,1,4,5,5,18,0.2222,13150,118350.0,0.0013414499999999999,73.83,auto_finalized
A_strict_c2_9b_mcts,A_strict,c2,dispatch_preview_001,0,36,38,38,18,2.0000,154581,652509.0,0.007361650000000001,334.47,reviewer_rejected
A_strict_c2_9b_mcts,A_strict,c2,fee_rounding_001,1,4,5,5,18,0.2222,11261,101349.0,0.0011447,66.59,auto_finalized
A_strict_c2_9b_mcts,A_strict,c2,headline_api_001,0,30,38,38,18,1.6667,257240,870273.0,0.00980625,583.27,reviewer_rejected
A_strict_c2_9b_mcts,A_strict,c2,incident_brief_c2_001,1,3,4,4,18,0.1667,10155,91395.0,0.0010411,74.56,auto_finalized
A_strict_c2_9b_mcts,A_strict,c2,invoice_summary_001,1,4,5,5,18,0.2222,13260,119340.0,0.0013457,69.44,auto_finalized
A_strict_c2_9b_mcts,A_strict,c2,label_join_001,1,4,5,5,18,0.2222,10893,98037.0,0.0011084,67.85,auto_finalized
