run_id,variant,case_set,solve_rate,avg_cost_bpt,bpt_per_solve,avg_planner_bpt,avg_coder_bpt,avg_reviewer_bpt,avg_value_bpt,avg_total_tokens,avg_cost_usd,pareto_optimal
G_c2_9b_hindsight,G,c2,0.8,268808.85,336011.06249999994,7187.4,257107.95,4513.5,0.0,29867.649999999998,0.003039270000000001,True
G_strict_c1_9b_hindsight,G_strict,c1,0.65,379392.75,583681.1538461539,7069.5,367085.25,5238.0,0.0,42154.75,0.004279632500000001,False
G_strict_c2_9b_hindsight,G_strict,c2,0.7,283891.05,405558.64285714284,7187.4,270808.65,5895.0,0.0,31543.45,0.0032134325000000006,False
G_strict_c3_9b_hindsight,G_strict,c3,0.7,370816.65,529738.0714285715,7221.15,355941.45,7654.05,0.0,41201.85,0.0041769925,False
H_c1_9b_selfeval,H,c1,0.7,344881.8,492688.28571428574,7896.15,297899.55,6669.9,32416.2,34718.4,0.003909947500000001,False
H_c2_9b_selfeval,H,c2,0.7,347162.85,495946.9285714286,7229.25,299672.55,6205.5,34055.55,34789.700000000004,0.003933580000000001,False
I_c1_sweSearch_9b,I,c1,0.75,429175.8,572234.4,7907.4,380752.65,6000.75,34515.0,43851.200000000004,0.0048541750000000005,True
I_c2_sweSearch_9b,I,c2,0.7,248542.65,355060.9285714286,7187.4,212449.5,5310.9,23594.85,24994.2,0.002818579999999999,True
J_c1_30b_sweSearch,J,c1,0.75,1485732.0,1980976.0,24808.5,1326621.0,16968.0,117334.5,45613.25,0.004303871999999999,False
J_c2_30b_sweSearch,J,c2,0.6,1419351.0,2365585.0,21429.0,1261215.0,22455.0,114252.0,43503.3,0.004191546,False
K_c1_minimal_sweSearch,K,c1,0.55,275332.5,500604.5454545454,0.0,235995.75,0.0,39336.75,26221.75,0.0031073000000000008,True
K_c2_minimal_sweSearch,K,c2,0.55,204275.25,371409.5454545454,0.0,175523.85,0.0,28751.4,19502.65,0.0023087325000000006,True
L_c1_9b_linear,L,c1,0.0,13695.3,inf,0.0,13695.3,0.0,0.0,1521.6999999999998,0.000153325,True
L_c2_9b_linear,L,c2,0.0,13029.75,inf,0.0,13029.75,0.0,0.0,1447.75,0.00014607000000000002,True
L_c3_9b_linear,L,c3,0.0,12386.7,inf,0.0,12386.7,0.0,0.0,1376.3000000000002,0.00013883749999999998,True
M_c1_30b_linear,M,c1,0.0,49227.0,inf,0.0,49227.0,0.0,0.0,1640.8999999999999,0.00017559199999999997,False
M_c2_30b_linear,M,c2,0.0,39601.5,inf,0.0,39601.5,0.0,0.0,1320.0500000000002,0.00014033400000000004,False
M_c3_30b_linear,M,c3,0.0,42252.0,inf,0.0,42252.0,0.0,0.0,1408.4,0.000138822,False
N_c1_120b_linear,N,c1,0.0,194142.0,inf,0.0,194142.0,0.0,0.0,1617.85,0.0002649749999999999,False
N_c2_120b_linear,N,c2,0.0,220716.0,inf,0.0,220716.0,0.0,0.0,1839.3,0.00030429000000000003,False
N_c3_120b_linear,N,c3,0.0,210570.0,inf,0.0,210570.0,0.0,0.0,1754.75,0.00028812000000000005,False
P_c1_best_combined,P,c1,0.8,1198905.0,1498631.25,170928.0,948321.0,79656.0,0.0,33698.9,0.0033785385,False
P_c2_best_combined,P,c2,0.7,1315587.0,1879410.0000000002,128964.0,1088109.0,98514.0,0.0,38165.95,0.0036955715,False
P_c3_best_combined,P,c3,0.75,1194745.5,1592994.0,172242.0,937051.5,85452.0,0.0,33382.5,0.003337454,False
