feature,n_runs_on,n_runs_off,mean_solve_on,mean_solve_off,feature_effect_solve,mean_bpt_on,mean_bpt_off,feature_effect_bpt,mean_bpt_per_solve_on,mean_bpt_per_solve_off,feature_effect_efficiency,low_power_warning,case_sets_included
mcts,30,20,0.7183,0.4075,0.3108,816539,398196,418343,1134235,902542,231693,,c1+c2+c3
planner,24,26,0.7458,0.4538,0.2920,997444,327747,669697,1360648,664673,695975,,c1+c2+c3
reviewer,28,22,0.7357,0.4136,0.3221,883122,351486,531636,1207173,781088,426085,,c1+c2+c3
strict_gate,15,35,0.7267,0.5371,0.1895,653335,647430,5905,885357,1179794,-294436,,c1+c2+c3
hindsight,10,40,0.7300,0.5600,0.1700,763366,620661,142706,1053127,1078185,-25058,,c1+c2+c3
value_fn,6,44,0.7083,0.5784,0.1299,978577,604287,374289,1395458,1016636,378822,,c1+c2+c3
