instance_id,status,submitted,stopped_reason,turns,time_s,tok_in,tok_out,loops,vote_edits,vote_samples,patch_lines,checks_satisfied,coder_rounds,reviewer_decision_r1,reviewer_decision_r2,planner_tok_in,coder_tok_in,reviewer_tok_in
budget_snapshot_001,reviewer_rej,False,reviewer_rejected,18,532.9,93158,3746,0,1,4,6,1,2,revise,revise,738,89570,2850
contact_card_001,reviewer_rej,False,reviewer_rejected,18,305.8,75479,1677,0,1,5,2,1,2,revise,revise,643,73194,1642
owner_recap_001,reviewer_rej,False,reviewer_rejected,18,417.2,74396,1475,0,1,2,2,2,2,revise,revise,818,71065,2513
shipment_preview_001,SUBMIT,True,reviewer_accepted_finalized,18,351.5,84467,1503,0,2,4,4,2,2,revise,accept,755,81722,1990
